Team,Name,Old Name,Current Team, 2011-12 Total Cap Allocation , 2011-12 Cap Space , 2012-13 Total Cap Allocation , 2012-13 Cap Space , 2013-14 Total Cap Allocation , 2013-14 Cap Space , 2014-15 Total Cap Allocation , 2014-15 Cap Space , 2015-16 Total Cap Allocation , 2015-16 Cap Space , 2016-17 Total Cap Allocation , 2016-17 Cap Space , 2017-18 Total Cap Allocation , 2017-18 Cap Space , 2018-19 Total Cap Allocation , 2018-19 Cap Space , 2019-20 Total Cap Allocation , 2019-20 Cap Space , 2020-21 Total Cap Allocation , 2020-21 Cap Space , 2021-22 Total Cap Allocation , 2021-22 Cap Space , 2022-23 Total Cap Allocation , 2022-23 Cap Space , 2023-24 Total Cap Allocation , 2023-24 Cap Space , 2024-25 Total Cap Allocation , 2024-25 Cap Space ,,
HOU,Houston Rockets,,," $49,625,800.00 "," $8,418,200.00 "," $55,435,438.00 "," $2,608,562.00 "," $63,877,378.00 "," $(5,198,378.00)"," $74,050,249.00 "," $(10,985,249.00)"," $88,387,446.00 "," $(18,387,446.00)"," $90,968,493.00 "," $3,174,507.00 "," $118,271,451.00 "," $(19,178,451.00)"," $128,871,987.00 "," $(27,002,987.00)"," $151,594,903.00 "," $(42,454,903.00)"," $129,533,390.00 "," $(20,393,390.00)"," $132,065,764.00 "," $(19,651,764.00)"," $138,296,534.00 "," $(14,641,534.00)"," $145,302,009.00 "," $(9,281,009.00)"," $173,496,349.00 "," $(32,908,349.00)",,
IND,Indiana Pacers,,," $44,413,746.00 "," $13,630,254.00 "," $66,745,868.00 "," $(8,701,868.00)"," $67,428,228.00 "," $(8,749,228.00)"," $75,998,942.00 "," $(12,933,942.00)"," $72,413,726.00 "," $(2,413,726.00)"," $94,002,004.00 "," $140,996.00 "," $93,661,969.00 "," $5,431,031.00 "," $110,579,462.00 "," $(8,710,462.00)"," $114,591,944.00 "," $(5,451,944.00)"," $129,005,732.00 "," $(19,865,732.00)"," $136,089,712.00 "," $(23,675,712.00)"," $122,145,349.00 "," $1,509,651.00 "," $146,679,278.00 "," $(10,658,278.00)"," $171,232,577.00 "," $(30,644,577.00)",,
LAC,Los Angeles Clippers,,," $69,573,889.00 "," $(11,529,889.00)"," $69,520,697.00 "," $(11,476,697.00)"," $74,981,669.00 "," $(16,302,669.00)"," $82,909,773.00 "," $(19,844,773.00)"," $99,997,773.00 "," $(29,997,773.00)"," $118,011,825.00 "," $(23,868,825.00)"," $118,817,049.00 "," $(19,724,049.00)"," $118,570,700.00 "," $(16,701,700.00)"," $130,154,932.00 "," $(21,014,932.00)"," $137,405,301.00 "," $(28,265,301.00)"," $166,162,398.00 "," $(53,748,398.00)"," $193,025,318.00 "," $(69,370,318.00)"," $202,080,521.00 "," $(66,059,521.00)"," $174,670,238.00 "," $(34,082,238.00)",,
LAL,Los Angeles Lakers,,," $81,659,758.00 "," $(23,615,758.00)"," $99,847,565.00 "," $(41,803,565.00)"," $84,415,826.00 "," $(25,736,826.00)"," $70,374,042.00 "," $(7,309,042.00)"," $73,112,648.00 "," $(3,112,648.00)"," $94,204,120.00 "," $(61,120.00)"," $105,120,157.00 "," $(6,027,157.00)"," $105,333,698.00 "," $(3,464,698.00)"," $122,723,507.00 "," $(13,583,507.00)"," $138,544,305.00 "," $(29,404,305.00)"," $160,861,720.00 "," $(48,447,720.00)"," $180,067,292.00 "," $(56,412,292.00)"," $181,975,999.00 "," $(45,954,999.00)"," $200,785,985.00 "," $(60,197,985.00)",,
MEM,Memphis Grizzlies,,," $67,958,273.00 "," $(9,914,273.00)"," $63,276,388.00 "," $(5,232,388.00)"," $72,778,550.00 "," $(14,099,550.00)"," $75,675,569.00 "," $(12,610,569.00)"," $85,476,595.00 "," $(15,476,595.00)"," $110,869,863.00 "," $(16,726,863.00)"," $112,723,222.00 "," $(13,630,222.00)"," $124,214,557.00 "," $(22,345,557.00)"," $132,844,749.00 "," $(23,704,749.00)"," $134,245,326.00 "," $(25,105,326.00)"," $115,994,102.00 "," $(3,580,102.00)"," $127,756,781.00 "," $(4,101,781.00)"," $162,996,801.00 "," $(26,975,801.00)"," $167,814,933.00 "," $(27,226,933.00)",,
MIA,Miami Heat,,," $78,613,056.00 "," $(20,569,056.00)"," $83,431,885.00 "," $(25,387,885.00)"," $80,645,920.00 "," $(21,966,920.00)"," $75,966,404.00 "," $(12,901,404.00)"," $84,619,637.00 "," $(14,619,637.00)"," $101,820,405.00 "," $(7,677,405.00)"," $105,065,917.00 "," $(5,972,917.00)"," $126,261,568.00 "," $(24,392,568.00)"," $138,759,297.00 "," $(29,619,297.00)"," $135,572,405.00 "," $(26,432,405.00)"," $138,804,919.00 "," $(26,390,919.00)"," $152,766,041.00 "," $(29,111,041.00)"," $180,754,950.00 "," $(44,733,950.00)"," $179,350,729.00 "," $(38,762,729.00)",,
MIL,Milwaukee Bucks,,," $66,354,411.00 "," $(8,310,411.00)"," $61,658,839.00 "," $(3,614,839.00)"," $54,229,524.00 "," $4,449,476.00 "," $55,114,481.00 "," $7,950,519.00 "," $70,579,512.00 "," $(579,512.00)"," $92,676,330.00 "," $1,466,670.00 "," $116,214,360.00 "," $(17,121,360.00)"," $123,913,271.00 "," $(22,044,271.00)"," $130,229,664.00 "," $(21,089,664.00)"," $133,224,345.00 "," $(24,084,345.00)"," $160,663,369.00 "," $(48,249,369.00)"," $181,849,255.00 "," $(58,194,255.00)"," $188,285,708.00 "," $(52,264,708.00)"," $195,746,447.00 "," $(55,158,447.00)",,
MIN,Minnesota Timberwolves,,," $55,406,532.00 "," $2,637,468.00 "," $62,360,135.00 "," $(4,316,135.00)"," $68,154,796.00 "," $(9,475,796.00)"," $68,835,033.00 "," $(5,770,033.00)"," $72,747,407.00 "," $(2,747,407.00)"," $71,566,819.00 "," $22,576,181.00 "," $105,179,927.00 "," $(6,086,927.00)"," $121,862,669.00 "," $(19,993,669.00)"," $136,248,239.00 "," $(27,108,239.00)"," $159,195,461.00 "," $(50,055,461.00)"," $165,734,220.00 "," $(53,320,220.00)"," $174,906,722.00 "," $(51,251,722.00)"," $198,497,741.00 "," $(62,476,741.00)"," $236,725,861.00 "," $(96,137,861.00)",,
NOP,New Orleans Pelicans,,," $58,480,742.00 "," $(436,742.00)"," $63,685,125.00 "," $(5,641,125.00)"," $66,438,200.00 "," $(7,759,200.00)"," $71,528,838.00 "," $(8,463,838.00)"," $81,425,760.00 "," $(11,425,760.00)"," $101,417,816.00 "," $(7,274,816.00)"," $120,284,741.00 "," $(21,191,741.00)"," $116,073,210.00 "," $(14,204,210.00)"," $117,626,046.00 "," $(8,486,046.00)"," $132,616,252.00 "," $(23,476,252.00)"," $134,663,536.00 "," $(22,249,536.00)"," $154,090,191.00 "," $(30,435,191.00)"," $176,969,502.00 "," $(40,948,502.00)"," $182,966,321.00 "," $(42,378,321.00)",,
NYK,New York Knicks,,," $62,224,804.00 "," $(4,180,804.00)"," $78,854,599.00 "," $(20,810,599.00)"," $88,277,907.00 "," $(29,598,907.00)"," $84,197,750.00 "," $(21,132,750.00)"," $59,812,260.00 "," $10,187,740.00 "," $102,613,433.00 "," $(8,470,433.00)"," $104,405,156.00 "," $(5,312,156.00)"," $123,265,800.00 "," $(21,396,800.00)"," $110,055,762.00 "," $(915,762.00)"," $101,969,879.00 "," $7,170,121.00 "," $118,396,240.00 "," $(5,982,240.00)"," $150,263,571.00 "," $(26,608,571.00)"," $162,956,334.00 "," $(26,935,334.00)"," $188,877,651.00 "," $(48,289,651.00)",,
OKC,Oklahoma City Thunder,,," $61,831,253.00 "," $(3,787,253.00)"," $68,257,854.00 "," $(10,213,854.00)"," $70,696,313.00 "," $(12,017,313.00)"," $79,706,876.00 "," $(16,641,876.00)"," $94,712,574.00 "," $(24,712,574.00)"," $92,320,380.00 "," $1,822,620.00 "," $134,391,728.00 "," $(35,298,728.00)"," $147,471,767.00 "," $(45,602,767.00)"," $139,719,723.00 "," $(30,579,723.00)"," $104,570,165.00 "," $4,569,835.00 "," $90,513,233.00 "," $21,900,767.00 "," $155,437,627.00 "," $(31,782,627.00)"," $160,502,705.00 "," $(24,481,705.00)"," $166,001,694.00 "," $(25,413,694.00)",,
ORL,Orlando Magic,,," $69,263,593.00 "," $(11,219,593.00)"," $66,215,396.00 "," $(8,171,396.00)"," $53,516,731.00 "," $5,162,269.00 "," $58,830,518.00 "," $4,234,482.00 "," $64,462,856.00 "," $5,537,144.00 "," $104,294,550.00 "," $(10,151,550.00)"," $95,538,311.00 "," $3,554,689.00 "," $117,760,938.00 "," $(15,891,938.00)"," $146,546,422.00 "," $(37,406,422.00)"," $118,898,403.00 "," $(9,758,403.00)"," $126,992,175.00 "," $(14,578,175.00)"," $139,801,010.00 "," $(16,146,010.00)"," $139,355,784.00 "," $(3,334,784.00)"," $152,959,238.00 "," $(12,371,238.00)",,
PHI,Philadelphia 76ers,,," $65,086,919.00 "," $(7,042,919.00)"," $64,367,073.00 "," $(6,323,073.00)"," $53,780,843.00 "," $4,898,157.00 "," $60,466,222.00 "," $2,598,778.00 "," $65,500,677.00 "," $4,499,323.00 "," $89,003,631.00 "," $5,139,369.00 "," $100,020,936.00 "," $(927,936.00)"," $111,962,081.00 "," $(10,093,081.00)"," $130,102,816.00 "," $(20,962,816.00)"," $147,787,869.00 "," $(38,647,869.00)"," $156,429,129.00 "," $(44,015,129.00)"," $164,391,836.00 "," $(40,736,836.00)"," $181,909,301.00 "," $(45,888,301.00)"," $170,340,647.00 "," $(29,752,647.00)",,
PHO,Phoenix Suns,,," $64,910,904.00 "," $(6,865,904.00)"," $53,234,902.00 "," $4,809,098.00 "," $53,785,384.00 "," $4,893,616.00 "," $60,237,268.00 "," $2,827,732.00 "," $73,443,637.00 "," $(3,443,637.00)"," $85,055,253.00 "," $9,087,747.00 "," $92,518,634.00 "," $6,574,366.00 "," $108,453,793.00 "," $(6,584,793.00)"," $121,137,310.00 "," $(11,997,310.00)"," $130,285,572.00 "," $(21,145,572.00)"," $133,742,329.00 "," $(21,328,329.00)"," $175,806,777.00 "," $(52,151,777.00)"," $195,220,617.00 "," $(59,199,617.00)"," $228,464,502.00 "," $(87,876,502.00)",,
POR,Portland Trail Blazers,,," $66,140,347.00 "," $(8,096,347.00)"," $58,379,149.00 "," $(335,149.00)"," $62,699,372.00 "," $(4,020,372.00)"," $73,909,998.00 "," $(10,844,998.00)"," $66,562,366.00 "," $3,437,634.00 "," $112,845,578.00 "," $(18,702,578.00)"," $119,265,261.00 "," $(20,172,261.00)"," $133,096,018.00 "," $(31,227,018.00)"," $137,667,430.00 "," $(28,527,430.00)"," $135,448,164.00 "," $(26,308,164.00)"," $129,526,823.00 "," $(17,112,823.00)"," $151,480,955.00 "," $(27,825,955.00)"," $171,538,887.00 "," $(35,517,887.00)"," $176,848,446.00 "," $(36,260,446.00)",,
SAC,Sacramento Kings,,," $36,652,311.00 "," $21,391,689.00 "," $53,575,342.00 "," $4,468,658.00 "," $62,881,623.00 "," $(4,202,623.00)"," $75,324,906.00 "," $(12,259,906.00)"," $72,671,296.00 "," $(2,671,296.00)"," $95,667,032.00 "," $(1,524,032.00)"," $97,154,206.00 "," $1,938,794.00 "," $104,038,467.00 "," $(2,169,467.00)"," $116,865,503.00 "," $(7,725,503.00)"," $106,822,079.00 "," $2,317,921.00 "," $132,576,503.00 "," $(20,162,503.00)"," $154,815,256.00 "," $(31,160,256.00)"," $148,693,550.00 "," $(12,672,550.00)"," $171,370,782.00 "," $(30,782,782.00)",,
SAS,San Antonio Spurs,,," $73,774,561.00 "," $(15,730,561.00)"," $69,568,331.00 "," $(11,524,331.00)"," $63,379,810.00 "," $(4,700,810.00)"," $72,188,326.00 "," $(9,123,326.00)"," $87,594,996.00 "," $(17,594,996.00)"," $108,372,141.00 "," $(14,229,141.00)"," $117,624,936.00 "," $(18,531,936.00)"," $126,132,717.00 "," $(24,263,717.00)"," $138,217,953.00 "," $(29,077,953.00)"," $150,150,620.00 "," $(41,010,620.00)"," $126,419,926.00 "," $(14,005,926.00)"," $101,649,048.00 "," $22,005,952.00 "," $140,908,582.00 "," $(4,887,582.00)"," $162,809,380.00 "," $(22,221,380.00)",,
TOR,Toronto Raptors,,," $53,148,082.00 "," $4,895,918.00 "," $68,081,026.00 "," $(10,037,026.00)"," $68,635,923.00 "," $(9,956,923.00)"," $77,011,766.00 "," $(13,946,766.00)"," $74,216,787.00 "," $(4,216,787.00)"," $111,777,477.00 "," $(17,634,477.00)"," $119,956,468.00 "," $(20,863,468.00)"," $149,687,828.00 "," $(47,818,828.00)"," $142,301,048.00 "," $(33,161,048.00)"," $143,726,386.00 "," $(34,586,386.00)"," $149,439,621.00 "," $(37,025,621.00)"," $149,260,166.00 "," $(25,605,166.00)"," $161,887,358.00 "," $(25,866,358.00)"," $178,496,026.00 "," $(37,908,026.00)",,
UTA,Utah,,," $58,183,391.00 "," $(139,391.00)"," $66,913,862.00 "," $(8,869,862.00)"," $57,426,670.00 "," $1,252,330.00 "," $58,905,618.00 "," $4,159,382.00 "," $64,817,873.00 "," $5,182,127.00 "," $80,498,192.00 "," $13,644,808.00 "," $106,862,254.00 "," $(7,769,254.00)"," $114,837,858.00 "," $(12,968,858.00)"," $127,212,555.00 "," $(18,072,555.00)"," $138,998,838.00 "," $(29,858,838.00)"," $145,969,091.00 "," $(33,555,091.00)"," $147,162,541.00 "," $(23,507,541.00)"," $131,757,411.00 "," $4,263,589.00 "," $154,114,022.00 "," $(13,526,022.00)",,
WAS,Washington Wizards,,," $68,146,670.00 "," $(10,102,670.00)"," $58,631,988.00 "," $(587,988.00)"," $70,301,084.00 "," $(11,622,084.00)"," $74,417,924.00 "," $(11,352,924.00)"," $87,133,390.00 "," $(17,133,390.00)"," $102,337,716.00 "," $(8,194,716.00)"," $124,114,043.00 "," $(25,021,043.00)"," $126,590,911.00 "," $(24,721,911.00)"," $134,529,412.00 "," $(25,389,412.00)"," $160,772,292.00 "," $(51,632,292.00)"," $155,635,311.00 "," $(43,221,311.00)"," $183,801,576.00 "," $(60,146,576.00)"," $189,901,033.00 "," $(53,880,033.00)"," $211,677,970.00 "," $(71,089,970.00)",,
CHA,,Charlotte Bobcats,CHO," $65,611,373.00 "," $(7,567,373.00)"," $57,500,127.00 "," $543,873.00 "," $62,824,677.00 "," $(4,145,677.00)",,,,,,,,,,,,,,,,,,,,,,,,
NJN,,New Jersey Nets,BRK," $51,922,417.00 "," $6,121,583.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOH,,New Orleans Hornets,NOP," $58,480,742.00 "," $(436,742.00)"," $63,685,125.00 "," $(5,641,125.00)",,,,,,,,,,,,,,,,,,,,,,,,,,
