Draft Year,First Season,Draft Pick,Name,College,Team Drafted,Total,1st Year,2nd Year,3rd Year Option,MIN_S1,MIN_S2,PTS_S1,PTS_S2,AST_S1,AST_S2,REB_S1,REB_S2,STL_S1,STL_S2,FG3M_S1,FG3M_S2,FG3A_S1,FG3A_S2,FTM_S1,FTM_S2,FTA_S1,FTA_S2,FGM_S1,FGM_S2,FGA_S1,FGA_S2,cap_space_s1,cap_alloc_s1,cap_space_s2,cap_alloc_s2
2011,2011-2012,19,Tobias Harris,Tennessee,CHA,"$6,826,594 ","$1,418,160 ","$1,482,000 ","$1,545,840 ",479.0,325.0,208.0,136.0,22.0,13.0,101.0,57.0,13.0,8.0,6.0,7.0,23.0,21.0,44.0,23.0,54.0,26.0,79.0,53.0,169.0,115.0,-7567373.0,65611373.0,543873.0,57500127.0
2011,2011-2012,20,Donatas Motiejunas,,MIN,"$6,556,245 ","$1,361,400 ","$1,422,720 ","$1,483,920 ",538.0,952.0,250.0,341.0,31.0,34.0,93.0,225.0,7.0,20.0,24.0,21.0,83.0,84.0,32.0,58.0,51.0,96.0,97.0,131.0,213.0,296.0,-4316135.0,62360135.0,-9475796.0,68154796.0
2011,2011-2012,21,Nolan Smith,Duke,POR,"$6,366,420 ","$1,306,920 ","$1,365,720 ","$1,424,520 ",541.0,288.0,167.0,110.0,62.0,35.0,56.0,27.0,18.0,7.0,13.0,6.0,45.0,28.0,20.0,20.0,28.0,28.0,67.0,42.0,180.0,114.0,-8096347.0,66140347.0,-335149.0,58379149.0
2011,2011-2012,22,Kenneth Faried,Morehead State University,DEN,"$6,183,368 ","$1,254,720 ","$1,311,240 ","$1,367,640 ",1037.0,2248.0,471.0,923.0,36.0,77.0,352.0,734.0,34.0,81.0,0.0,0.0,0.0,0.0,109.0,163.0,164.0,266.0,181.0,380.0,309.0,689.0,893978.0,57150022.0,-5926222.0,63970222.0
2011,2011-2012,23,Nikola Mirotic,,HOU,"$6,004,305 ","$1,204,560 ","$1,258,800 ","$1,312,920 ",1654.0,1646.0,833.0,777.0,97.0,100.0,404.0,362.0,54.0,58.0,99.0,135.0,313.0,346.0,228.0,146.0,284.0,181.0,253.0,248.0,624.0,609.0,-10985249.0,74050249.0,-18387446.0,88387446.0
2011,2011-2012,24,Reggie Jackson,Boston College,OKC,"$5,829,450 ","$1,156,320 ","$1,208,400 ","$1,260,360 ",501.0,993.0,140.0,374.0,71.0,122.0,53.0,166.0,25.0,29.0,13.0,24.0,62.0,104.0,25.0,52.0,29.0,62.0,51.0,149.0,159.0,325.0,-3787253.0,61831253.0,-10213854.0,68257854.0
2011,2011-2012,25,MarShon Brooks,Providence,BOS,"$5,659,594 ","$1,110,120 ","$1,160,040 ","$1,210,080 ",1648.0,912.0,708.0,394.0,131.0,76.0,200.0,104.0,52.0,34.0,47.0,15.0,150.0,55.0,113.0,69.0,148.0,94.0,274.0,155.0,640.0,335.0,-18500614.0,76544614.0,-13532087.0,71576087.0
2011,2011-2012,26,Jordan Hamilton,Texas,DAL,"$5,473,974 ","$1,073,280 ","$1,121,520 ","$1,169,880 ",258.0,397.0,115.0,208.0,20.0,23.0,62.0,95.0,4.0,15.0,17.0,27.0,47.0,73.0,2.0,13.0,5.0,26.0,48.0,84.0,111.0,201.0,-17166420.0,75210420.0,-3897526.0,61941526.0
2011,2011-2012,27,JaJuan Johnson,Purdue,NJN,"$5,317,353 ","$1,042,320 ","$1,089,240 ","$1,136,160 ",298.0,,114.0,,6.0,,58.0,,5.0,,0.0,,0.0,,6.0,,9.0,,54.0,,121.0,,6121583.0,51922417.0,,
2011,2011-2012,28,Norris Cole,Cleveland State University,CHI,"$5,285,886 ","$1,035,960 ","$1,082,520 ","$1,129,200 ",1260.0,1590.0,441.0,445.0,133.0,164.0,91.0,130.0,44.0,57.0,21.0,35.0,76.0,98.0,66.0,52.0,85.0,80.0,177.0,179.0,450.0,425.0,-12743864.0,70787864.0,-16214448.0,74258448.0
2011,2011-2012,29,Cory Joseph,Texas,SAS,"$5,247,301 ","$1,028,400 ","$1,074,720 ","$1,120,920 ",266.0,388.0,58.0,126.0,34.0,53.0,25.0,52.0,7.0,15.0,3.0,6.0,15.0,21.0,11.0,18.0,17.0,21.0,22.0,51.0,70.0,110.0,-15730561.0,73774561.0,-11524331.0,69568331.0
2011,2011-2012,30,Jimmy Butler,Marquette,CHI,"$5,209,508 ","$1,020,960 ","$1,066,920 ","$1,112,880 ",,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2012-2013,1,Anthony Davis,Kentucky,NOH,"$23,198,010 ","$5,144,280 ","$5,375,760 ","$5,607,240 ",1846.0,2358.0,867.0,1394.0,63.0,105.0,522.0,673.0,75.0,89.0,0.0,2.0,6.0,9.0,169.0,348.0,225.0,440.0,349.0,522.0,676.0,1005.0,-5641125.0,63685125.0,,
2012,2012-2013,2,Michael Kidd-Gilchrist,Kentucky,CHA,"$20,760,924 ","$4,602,720 ","$4,809,840 ","$5,016,960 ",2025.0,1502.0,704.0,448.0,117.0,52.0,455.0,324.0,54.0,43.0,2.0,1.0,9.0,9.0,140.0,113.0,187.0,184.0,281.0,167.0,613.0,353.0,543873.0,57500127.0,-4145677.0,62824677.0
2012,2012-2013,3,Bradley Beal,Florida,WAS,"$18,652,514 ","$4,133,280 ","$4,319,280 ","$4,505,280 ",1745.0,2530.0,780.0,1249.0,137.0,243.0,211.0,273.0,50.0,71.0,91.0,138.0,236.0,343.0,125.0,149.0,159.0,189.0,282.0,481.0,687.0,1149.0,-587988.0,58631988.0,-11622084.0,70301084.0
2012,2012-2013,4,Dion Waiters,Syracuse,CLE,"$16,821,270 ","$3,726,600 ","$3,894,240 ","$4,062,000 ",1756.0,2072.0,894.0,1113.0,183.0,209.0,149.0,195.0,59.0,63.0,63.0,92.0,203.0,250.0,159.0,161.0,213.0,235.0,336.0,430.0,815.0,993.0,4079850.0,53964150.0,-7500320.0,66179320.0
2012,2012-2013,5,Thomas Robinson,Kansas,SAC,"$15,239,922 ","$3,374,640 ","$3,526,440 ","$3,678,360 ",809.0,247.0,247.0,86.0,36.0,10.0,238.0,77.0,25.0,16.0,0.0,0.0,0.0,1.0,41.0,16.0,71.0,38.0,103.0,35.0,243.0,78.0,4468658.0,53575342.0,4468658.0,53575342.0
