Draft Year,First Season,Draft Pick,Name,College,Team Drafted,Total,1st Year,2nd Year,3rd Year Option,4th Year Option
2024,2024-2025,11,Matas Buzelis,,CHI,"$23,950,723 ","$5,195,520 ","$5,455,560 ","$5,715,360 ","$7,584,283 "
2024,2024-2025,12,Nikola Topic,,OKC,"$23,030,850 ","$4,935,960 ","$5,182,920 ","$5,429,760 ","$7,482,210 "
2024,2024-2025,13,Devin Carter,Providence,SAC,"$22,141,697 ","$4,689,000 ","$4,923,720 ","$5,158,080 ","$7,370,897 "
2024,2024-2025,14,Bub Carrington,Pitt,POR,"$21,290,770 ","$4,454,880 ","$4,677,600 ","$4,900,560 ","$7,257,730 "
2024,2024-2025,15,Kel'el Ware,Indiana,MIA,"$20,466,073 ","$4,231,800 ","$4,443,360 ","$4,654,920 ","$7,135,993 "
2024,2024-2025,16,Jared McCain,Duke,PHI,"$19,448,588 ","$4,020,360 ","$4,221,360 ","$4,422,600 ","$6,784,268 "
2024,2024-2025,17,Dalton Knecht,Tennessee,LAL,"$18,483,220 ","$3,819,120 ","$4,010,160 ","$4,201,080 ","$6,452,860 "
2024,2024-2025,18,Tristan Da Silva,Colorado,ORL,"$17,567,626 ","$3,628,440 ","$3,809,520 ","$3,991,200 ","$6,138,466 "
2024,2024-2025,19,Ja'Kobe Walter,Baylor,TOR,"$16,785,132 ","$3,465,000 ","$3,638,160 ","$3,811,800 ","$5,870,172 "
2024,2024-2025,20,Jaylon Tyson,California,CLE,"$16,118,700 ","$3,326,160 ","$3,492,480 ","$3,658,560 ","$5,641,500 "
2024,2024-2025,21,Yves Missi,Baylor,NOP,"$15,654,827 ","$3,193,200 ","$3,353,040 ","$3,512,760 ","$5,595,827 "
2024,2024-2025,22,DaRon Holmes,Dayton,PHO,"$15,203,658 ","$3,065,640 ","$3,218,760 ","$3,372,120 ","$5,547,138 "
2024,2024-2025,23,AJ Johnson,,MIL,"$14,764,114 ","$2,943,120 ","$3,090,480 ","$3,237,120 ","$5,493,394 "
2024,2024-2025,24,Kyshawn George,Miami (FL),NYK,"$14,336,172 ","$2,825,520 ","$2,966,760 ","$3,108,000 ","$5,435,892 "
2024,2024-2025,25,Pacome Dadiet,,NYK,"$13,917,008 ","$2,712,120 ","$2,847,600 ","$2,983,680 ","$5,373,608 "
2024,2024-2025,26,Dillon Jones,Weber State,WAS,"$13,460,726 ","$2,622,360 ","$2,753,280 ","$2,884,440 ","$5,200,646 "
2024,2024-2025,27,Terrence Shannon Jr.,Illinois,MIN,"$13,076,519 ","$2,546,640 ","$2,674,080 ","$2,801,640 ","$5,054,159 "
2024,2024-2025,28,Ryan Dunn,Virginia,DEN,"$12,998,353 ","$2,530,800 ","$2,657,760 ","$2,784,240 ","$5,025,553 "
2024,2024-2025,29,Isaiah Collier,USC,UTA,"$12,903,788 ","$2,512,680 ","$2,638,200 ","$2,763,960 ","$4,988,948 "
2024,2024-2025,30,Baylor Scheierman,Creighton,BOS,"$12,810,353 ","$2,494,320 ","$2,619,000 ","$2,744,040 ","$4,952,993 "
2025,2025-2026,1,Cooper Flagg,Duke,DAL,"$62,730,226 ","$13,825,920 ","$14,517,480 ","$15,208,680 ","$19,178,146 "
2025,2025-2026,2,Dylan Harper,Rutgers University,SAS,"$56,140,114 ","$12,370,320 ","$12,989,040 ","$13,607,760 ","$17,172,994 "
2025,2025-2026,3,VJ Edgecombe,Baylor,PHI,"$50,438,478 ","$11,108,880 ","$11,663,880 ","$12,219,840 ","$15,445,878 "
2025,2025-2026,4,Kon Knueppel,Duke,CHO,"$45,487,014 ","$10,015,680 ","$10,516,560 ","$11,017,560 ","$13,937,214 "
2025,2025-2026,5,Ace Bailey,Rutgers University,UTA,"$41,209,782 ","$9,069,840 ","$9,523,080 ","$9,976,560 ","$12,640,302 "
2025,2025-2026,6,Tre Johnson,Texas,WAS,"$37,439,131 ","$8,237,640 ","$8,649,600 ","$9,061,680 ","$11,490,211 "
2025,2025-2026,7,Jeremiah Fears,Oklahoma,NOP,"$34,193,629 ","$7,520,040 ","$7,896,240 ","$8,271,960 ","$10,505,389 "
2025,2025-2026,8,Egor Demin,BYU,BRK,"$31,340,682 ","$6,889,200 ","$7,233,720 ","$7,578,240 ","$9,639,522 "
2025,2025-2026,9,Collin Murray-Boyles,South Carolina,TOR,"$28,822,764 ","$6,332,520 ","$6,649,560 ","$6,966,000 ","$8,874,684 "
2025,2025-2026,10,Khaman Maluach,Duke,HOU,"$27,386,800 ","$6,016,080 ","$6,316,680 ","$6,617,160 ","$8,436,880 "
2025,2025-2026,11,Cedric Coward,Washington State,POR,"$26,345,863 ","$5,715,120 ","$6,001,080 ","$6,286,920 ","$8,342,743 "
2025,2025-2026,12,Noa Essengue,,CHI,"$25,333,944 ","$5,429,520 ","$5,701,200 ","$5,972,760 ","$8,230,464 "
2025,2025-2026,13,Derik Queen,Maryland,ATL,"$24,355,798 ","$5,157,960 ","$5,416,080 ","$5,673,840 ","$8,107,918 "
2025,2025-2026,14,Carter Bryant,Arizona,SAS,"$23,419,859 ","$4,900,320 ","$5,145,360 ","$5,390,640 ","$7,983,539 "
2025,2025-2026,15,Thomas Sorber,Georgetown,OKC,"$22,512,733 ","$4,655,040 ","$4,887,720 ","$5,120,400 ","$7,849,573 "
2025,2025-2026,16,Yang Hansen,,MEM,"$21,393,588 ","$4,422,360 ","$4,643,520 ","$4,864,920 ","$7,462,788 "
2025,2025-2026,17,Joan Beringer,,MIN,"$20,331,643 ","$4,201,080 ","$4,411,200 ","$4,621,200 ","$7,098,163 "
2025,2025-2026,18,Walter Clayton,Florida,WAS,"$19,324,472 ","$3,991,320 ","$4,190,520 ","$4,390,320 ","$6,752,312 "
2025,2025-2026,19,Nolan Traore,,BRK,"$18,463,882 ","$3,811,560 ","$4,002,000 ","$4,193,040 ","$6,457,282 "
2025,2025-2026,20,Kasparas Jakucionis,Illinois,MIA,"$17,730,607 ","$3,658,800 ","$3,841,680 ","$4,024,440 ","$6,205,687 "
2025,2025-2026,21,Will Riley,Illinois,UTA,"$17,220,192 ","$3,512,520 ","$3,688,320 ","$3,864,000 ","$6,155,352 "
2025,2025-2026,22,Drake Powell,UNC,ATL,"$16,723,992 ","$3,372,240 ","$3,540,600 ","$3,709,320 ","$6,101,832 "
2025,2025-2026,23,Asa Newell,Georgia,IND,"$16,240,654 ","$3,237,480 ","$3,399,480 ","$3,560,880 ","$6,042,814 "
2025,2025-2026,24,Nique Clifford,Colorado State,OKC,"$15,769,801 ","$3,108,120 ","$3,263,400 ","$3,418,800 ","$5,979,481 "
2025,2025-2026,25,Jase Richardson,Michigan State,ORL,"$15,308,562 ","$2,983,320 ","$3,132,360 ","$3,282,000 ","$5,910,882 "
2025,2025-2026,26,Ben Saraf,,BRK,"$14,806,816 ","$2,884,560 ","$3,028,560 ","$3,172,920 ","$5,720,776 "
2025,2025-2026,27,Danny Wolf,Michigan,BRK,"$14,384,200 ","$2,801,280 ","$2,941,440 ","$3,081,840 ","$5,559,640 "
2025,2025-2026,28,Hugo Gonzalez,,BOS,"$14,298,145 ","$2,783,880 ","$2,923,560 ","$3,062,640 ","$5,528,065 "
2025,2025-2026,29,Liam McNeeley,UConn,PHO,"$14,194,138 ","$2,763,960 ","$2,902,080 ","$3,040,320 ","$5,487,778 "
2025,2025-2026,30,Yanic Konan Niederhauser,Penn State,LAC,"$14,091,596 ","$2,743,800 ","$2,880,960 ","$3,018,480 ","$5,448,356 "
